ID	SENDER	RECEIVER	PERIODIC
KOAP	OR	PR	2
RKIB	OR	PR	2
KOAO	PR	FA	2
KZPI	PR	FA	2
RKIB	PR	FA	2
KOAO	PR	IB	2
KOAO	PR	IM	2
KOAO	PR	IP	2
KOAO	PR	IV	2
KOAO	PR	IW	2
KOAO	PR	KS	2
KOAP	PR	KS	2
RKIB	PR	KS	2
RKPB	PR	KS	2
KOAO	PR	NP	2
KZPI	PR	NP	2
KZPP	PR	NP	2
KOAO	PR	OR	2
KOAP	PR	OR	2
KZPI	PR	OR	2
KZPP	PR	OR	2
RKIB	PR	OR	2
RKPB	PR	OR	2
KOAO	PR	PR	2
KOAP	PR	PR	2
KZPI	PR	PR	2
KZPP	PR	PR	2
RKIB	PR	PR	2
RMWE	VR	PO	1
